NRC,id_aula,url
3578,32747,https://platform.ecala.net/course/view.php?id=32747
3710,32753,https://platform.ecala.net/course/view.php?id=32753
3880,32760,https://platform.ecala.net/course/view.php?id=32760
3783,32759,https://platform.ecala.net/course/view.php?id=32759
3799,32758,https://platform.ecala.net/course/view.php?id=32758
3114,33398,https://platform.ecala.net/course/view.php?id=33398
3807,32757,https://platform.ecala.net/course/view.php?id=32757
4796,37444,https://platform.ecala.net/course/view.php?id=37444
3494,32743,https://platform.ecala.net/course/view.php?id=32743
3385,32739,https://platform.ecala.net/course/view.php?id=32739
3360,32738,https://platform.ecala.net/course/view.php?id=32738
3152,33318,https://platform.ecala.net/course/view.php?id=33318
3444,32800,https://platform.ecala.net/course/view.php?id=32800
3413,32799,https://platform.ecala.net/course/view.php?id=32799
3151,33583,https://platform.ecala.net/course/view.php?id=33583
3384,32786,https://platform.ecala.net/course/view.php?id=32786
4073,32816,https://platform.ecala.net/course/view.php?id=32816
3161,33214,https://platform.ecala.net/course/view.php?id=33214
3160,33203,https://platform.ecala.net/course/view.php?id=33203
3991,32767,https://platform.ecala.net/course/view.php?id=32767
3128,33946,https://platform.ecala.net/course/view.php?id=33946
3779,32769,https://platform.ecala.net/course/view.php?id=32769
3971,32763,https://platform.ecala.net/course/view.php?id=32763
4010,32762,https://platform.ecala.net/course/view.php?id=32762
3911,32765,https://platform.ecala.net/course/view.php?id=32765
3124,33761,https://platform.ecala.net/course/view.php?id=33761
3889,32777,https://platform.ecala.net/course/view.php?id=32777
3805,32775,https://platform.ecala.net/course/view.php?id=32775
3130,33443,https://platform.ecala.net/course/view.php?id=33443
4823,37492,https://platform.ecala.net/course/view.php?id=37492
4357,35938,https://platform.ecala.net/course/view.php?id=35938
4446,36112,https://platform.ecala.net/course/view.php?id=36112
4825,37494,https://platform.ecala.net/course/view.php?id=37494
4447,36113,https://platform.ecala.net/course/view.php?id=36113
3066,33854,https://platform.ecala.net/course/view.php?id=33854
3065,33667,https://platform.ecala.net/course/view.php?id=33667
3071,32728,https://platform.ecala.net/course/view.php?id=32728
3045,33241,https://platform.ecala.net/course/view.php?id=33241
3072,32986,https://platform.ecala.net/course/view.php?id=32986
4806,37454,https://platform.ecala.net/course/view.php?id=37454
3237,32732,https://platform.ecala.net/course/view.php?id=32732
2667,33988,https://platform.ecala.net/course/view.php?id=33988
2665,33632,https://platform.ecala.net/course/view.php?id=33632
2670,33676,https://platform.ecala.net/course/view.php?id=33676
3573,32249,https://platform.ecala.net/course/view.php?id=32249
2662,32403,https://platform.ecala.net/course/view.php?id=32403
2663,32512,https://platform.ecala.net/course/view.php?id=32512
2679,32702,https://platform.ecala.net/course/view.php?id=32702
2678,33336,https://platform.ecala.net/course/view.php?id=33336
2674,32408,https://platform.ecala.net/course/view.php?id=32408
2675,33128,https://platform.ecala.net/course/view.php?id=33128
2918,32235,https://platform.ecala.net/course/view.php?id=32235
4088,32227,https://platform.ecala.net/course/view.php?id=32227
2661,33310,https://platform.ecala.net/course/view.php?id=33310
3957,32244,https://platform.ecala.net/course/view.php?id=32244
4919,37643,https://platform.ecala.net/course/view.php?id=37643
4917,37641,https://platform.ecala.net/course/view.php?id=37641
4913,37616,https://platform.ecala.net/course/view.php?id=37616
4901,37604,https://platform.ecala.net/course/view.php?id=37604
2715,33711,https://platform.ecala.net/course/view.php?id=33711
4912,37615,https://platform.ecala.net/course/view.php?id=37615
2714,33914,https://platform.ecala.net/course/view.php?id=33914
3924,32274,https://platform.ecala.net/course/view.php?id=32274
2693,33696,https://platform.ecala.net/course/view.php?id=33696
2691,33132,https://platform.ecala.net/course/view.php?id=33132
2685,33337,https://platform.ecala.net/course/view.php?id=33337
2682,32960,https://platform.ecala.net/course/view.php?id=32960
2690,33633,https://platform.ecala.net/course/view.php?id=33633
2689,33130,https://platform.ecala.net/course/view.php?id=33130
2699,33294,https://platform.ecala.net/course/view.php?id=33294
4093,32181,https://platform.ecala.net/course/view.php?id=32181
3905,32179,https://platform.ecala.net/course/view.php?id=32179
3884,32178,https://platform.ecala.net/course/view.php?id=32178
4043,32180,https://platform.ecala.net/course/view.php?id=32180
3902,32190,https://platform.ecala.net/course/view.php?id=32190
3960,32191,https://platform.ecala.net/course/view.php?id=32191
2591,33324,https://platform.ecala.net/course/view.php?id=33324
3705,32166,https://platform.ecala.net/course/view.php?id=32166
3703,32168,https://platform.ecala.net/course/view.php?id=32168
3651,32167,https://platform.ecala.net/course/view.php?id=32167
3722,32165,https://platform.ecala.net/course/view.php?id=32165
4941,37673,https://platform.ecala.net/course/view.php?id=37673
4939,37671,https://platform.ecala.net/course/view.php?id=37671
4940,37672,https://platform.ecala.net/course/view.php?id=37672
3855,32175,https://platform.ecala.net/course/view.php?id=32175
3895,32177,https://platform.ecala.net/course/view.php?id=32177
2590,33734,https://platform.ecala.net/course/view.php?id=33734
3775,32174,https://platform.ecala.net/course/view.php?id=32174
3873,32172,https://platform.ecala.net/course/view.php?id=32172
3250,32218,https://platform.ecala.net/course/view.php?id=32218
4936,37668,https://platform.ecala.net/course/view.php?id=37668
3528,32219,https://platform.ecala.net/course/view.php?id=32219
2677,32223,https://platform.ecala.net/course/view.php?id=32223
2639,33127,https://platform.ecala.net/course/view.php?id=33127
2634,32265,https://platform.ecala.net/course/view.php?id=32265
3139,32220,https://platform.ecala.net/course/view.php?id=32220
2724,32221,https://platform.ecala.net/course/view.php?id=32221
2632,32401,https://platform.ecala.net/course/view.php?id=32401
3914,32197,https://platform.ecala.net/course/view.php?id=32197
2620,33407,https://platform.ecala.net/course/view.php?id=33407
2621,33669,https://platform.ecala.net/course/view.php?id=33669
2619,33530,https://platform.ecala.net/course/view.php?id=33530
3249,32207,https://platform.ecala.net/course/view.php?id=32207
2615,33311,https://platform.ecala.net/course/view.php?id=33311
3122,32432,https://platform.ecala.net/course/view.php?id=32432
3040,32430,https://platform.ecala.net/course/view.php?id=32430
3162,32436,https://platform.ecala.net/course/view.php?id=32436
3037,32426,https://platform.ecala.net/course/view.php?id=32426
2803,33340,https://platform.ecala.net/course/view.php?id=33340
3607,32462,https://platform.ecala.net/course/view.php?id=32462
3491,32461,https://platform.ecala.net/course/view.php?id=32461
3476,32460,https://platform.ecala.net/course/view.php?id=32460
3561,32467,https://platform.ecala.net/course/view.php?id=32467
3431,32457,https://platform.ecala.net/course/view.php?id=32457
3266,32447,https://platform.ecala.net/course/view.php?id=32447
3253,32444,https://platform.ecala.net/course/view.php?id=32444
3424,32454,https://platform.ecala.net/course/view.php?id=32454
3448,32456,https://platform.ecala.net/course/view.php?id=32456
3435,32453,https://platform.ecala.net/course/view.php?id=32453
3390,32451,https://platform.ecala.net/course/view.php?id=32451
2732,33805,https://platform.ecala.net/course/view.php?id=33805
2734,32707,https://platform.ecala.net/course/view.php?id=32707
2743,33367,https://platform.ecala.net/course/view.php?id=33367
